genre_ids,original_language,original_title,overview,popularity,poster_path,vote_average,title
"[16, 18, 10752]",ja,火垂るの墓,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.049,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,8.45,Grave of the Fireflies
"[35, 18]",it,La vita è bella,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,53.297,/74hLDKjD5aGYOotO6esUVaeISa2.jpg,8.447,Life Is Beautiful
"[18, 10749]",it,Nuovo Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",32.721,/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg,8.4,Cinema Paradiso
[18],en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",114.938,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,8.4,Fight Club
"[18, 80]",pt,Cidade de Deus,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",41.91,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,8.426,City of God
"[35, 18, 14]",pt,O Auto da Compadecida,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",15.168,/xWCKF7hgOicb3A0XiY13SdlwRcn.jpg,8.4,A Dog's Will
"[27, 53, 9648]",en,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",43.987,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,8.4,Psycho
"[18, 80]",en,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",30.666,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,8.4,Once Upon a Time in America
"[12, 14, 28]",en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",157.136,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,8.418,The Lord of the Rings: The Fellowship of the Ring
[18],en,One Flew Over the Cuckoo's Nest,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",40.536,/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,8.414,One Flew Over the Cuckoo's Nest
"[10749, 18]",en,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",12.008,/yXRoyYzIo17HfANn07oXYdyBy4h.jpg,8.4,Gabriel's Inferno
"[28, 18, 36]",ja,切腹,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",21.753,/w7pWcLaYQkbtRUn99K6ome0DblL.jpg,8.4,Harakiri
"[14, 16, 12]",ja,ハウルの動く城,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",87.3,/23hUJh7JdO23SpgUB5oiFDQk2wX.jpg,8.4,Howl's Moving Castle
"[12, 14, 28]",en,The Lord of the Rings: The Two Towers,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",97.697,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,8.4,The Lord of the Rings: The Two Towers
"[16, 28, 12, 878]",en,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",105.451,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,8.397,Spider-Man: Into the Spider-Verse
"[12, 28, 878]",en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",30.821,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,8.4,The Empire Strikes Back
"[10749, 18]",en,Gabriel's Inferno: Part II,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",8.618,/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg,8.4,Gabriel's Inferno: Part II
"[16, 18, 10749]",ja,映画 聲の形,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",43.46,/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,8.382,A Silent Voice: The Movie
"[18, 10402]",en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",82.86,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,8.4,Whiplash
"[18, 10752]",en,The Pianist,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",62.839,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,8.4,The Pianist
"[10749, 18]",en,Gabriel's Inferno: Part III,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,22.796,/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg,8.4,Gabriel's Inferno: Part III
"[80, 9648, 53]",en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",88.903,/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,8.374,Se7en
"[28, 878, 12]",en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",125.758,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,8.369,Inception
"[53, 9648]",en,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,26.102,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,8.35,Rear Window
"[16, 28, 12, 878]",en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",163.713,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,8.3,Spider-Man: Across the Spider-Verse
"[16, 878, 10751]",en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",426.67,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,8.345,The Wild Robot
"[80, 18, 53]",en,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",17.165,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,8.3,The Silence of the Lambs
[18],en,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",29.975,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,8.34,American History X
"[16, 14, 12]",lv,Straume,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",331.23,/imKSymKBK7o73sajciEmndJoVkR.jpg,8.337,Flow
"[12, 14, 16]",ja,もののけ姫,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",43.386,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,8.334,Princess Mononoke
"[12, 35, 878]",en,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",61.96,/rej4R5DIdlx29I2soNePfInICG3.jpg,8.3,Back to the Future
[18],ja,生きる,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",17.303,/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg,8.308,Ikiru
[18],en,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",59.658,/hmGAF5NDoYB6S39UONevjHCESOI.jpg,8.3,Dead Poets Society
